abdicate 退位
abdomen 腹部
absurd 荒谬的
acclaim 称赞
acclimation 适应环境（极低频）
accommodate 容纳
accomplish 完成
accord 一致
accountant 会计师
accrue 累积
ache 疼痛
acquaint 使了解
acquaintance 熟人
acquisition 获得
adequate 足够的
adjacent 邻近的
adulthood 成年
advent 到来
adverb 副词
aerobic 有氧的
aesthetic 美学的
affect 影响
affection 喜爱
affiliate 使隶属
affirm 断言
aggravate 加重
agonizing 令人痛苦的
agony 剧痛
airborne 空运的
alert 警觉的
allegation 指控
allegiance 忠诚
allot 分配
allowance 津贴
alloy 合金
allude 暗示
altitude 海拔
amiable 和蔼的
amplify 放大
analog 类似物
analogy 类比
anatomy 解剖学
anchor 锚
anguish 极度痛苦
anniversary 周年纪念
anthropologist 人类学家
apparatus 仪器
applicable 适用的
arable 可耕的（极低频）
arbitrary 武断的
archeology 考古学（极低频）
architect 建筑师
architecture 建筑学
arena 竞技场
arrogant 傲慢的
artery 动脉
articulate 清晰表达
ascertain 查明
ascribe 归因于
ashore 上岸（极低频）
assassinate 暗杀
assurance 保证
athlete 运动员
athletic 运动的
attorney 律师
auction 拍卖
audit 审计
auditorium 礼堂（极低频）
augment 增加
authentic 真正的
autonomy 自治
avail 有用（极低频）
avenue 大街
averse 反对的（极低频）
aversion 厌恶（极低频）
awe 敬畏
